Student_ID,Age,Gender,City,Province,CGPA,Performance_Class,Family_Income_PKR,Parents_Education,Study_Hours_Per_Week,Attendance_Percentage,Internet_Access,Private_Tuition,Device_Available,Electricity_Availability,School_Type,Medium_of_Instruction,Distance_to_Institute_km,Transport_Mode,Parental_Support_Level,Health_Issues,Part_Time_Job,Extra_Curricular,Motivation_Level
1,21,Female,Faisalabad,KPK,1.5,Weak,Low (<30k),Graduate,6,88,No,No,Laptop,Frequent Outages,Private,Urdu,15.6,Bus,Low,Chronic,Yes,Clubs,Low
2,23,Male,Mardan,Punjab,1.5,Weak,Middle (60k-120k),Primary,10,96,No,Yes,Desktop,Consistent,Public,Urdu,19.0,Bike,Medium,Minor,Yes,Clubs,High
3,20,Male,Gilgit,Gilgit Baltistan,1.5,Weak,Upper-Middle (120k-250k),Matric,17,80,No,No,Mobile,Frequent Outages,Public,English,6.4,Van,Medium,Minor,Yes,None,Low
4,20,Female,Dir,Punjab,1.51,Weak,Middle (60k-120k),Intermediate,30,72,No,No,None,Consistent,Private,English,24.2,Walk,Low,Minor,No,Sports,Low
5,24,Male,Faisalabad,KPK,1.51,Weak,High (>250k),Primary,23,57,Yes,No,Mobile,Frequent Outages,Public,Urdu,22.7,Bus,High,Minor,Yes,Clubs,High
6,24,Male,Peshawar,KPK,1.51,Weak,Upper-Middle (120k-250k),Graduate,23,79,Yes,Yes,Laptop,Frequent Outages,Semi-Government,Urdu,8.1,Walk,Medium,None,Yes,Sports,High
7,24,Male,Charsadda,KPK,1.51,Weak,High (>250k),Intermediate,14,63,No,No,None,Frequent Outages,Private,Urdu,1.1,Car,High,Chronic,No,Clubs,High
8,25,Male,Bhimber,Gilgit Baltistan,1.52,Weak,Middle (60k-120k),Matric,35,94,No,No,Laptop,Frequent Outages,Semi-Government,English,1.8,Car,Low,Minor,No,None,Low
9,25,Male,Diamer,Punjab,1.52,Weak,Lower-Middle (30k-60k),Primary,10,59,No,Yes,Desktop,Frequent Outages,Public,Urdu,31.4,Bus,Medium,None,No,Sports,Low
10,24,Female,Bahawalpur,KPK,1.52,Weak,Upper-Middle (120k-250k),Graduate,23,70,No,Yes,Mobile,Frequent Outages,Semi-Government,Urdu,19.6,Walk,Medium,Chronic,Yes,Sports,Low
11,23,Female,Multan,Azad Kashmir,1.52,Weak,Upper-Middle (120k-250k),Graduate,33,83,No,Yes,Laptop,Frequent Outages,Semi-Government,Urdu,22.9,Bike,Low,None,No,None,High
12,21,Female,Multan,KPK,1.53,Weak,High (>250k),Graduate,27,59,No,No,Desktop,Consistent,Private,English,33.7,Walk,Medium,Minor,Yes,Clubs,High
13,17,Female,Bahawalpur,Punjab,1.53,Weak,High (>250k),Matric,18,99,Yes,No,Mobile,Frequent Outages,Public,Urdu,13.9,Car,Low,Minor,Yes,None,Medium
14,24,Male,Skardu,KPK,1.53,Weak,Low (<30k),Primary,17,79,Yes,Yes,Desktop,Frequent Outages,Semi-Government,Urdu,23.6,Van,Medium,Chronic,Yes,None,Low
15,17,Male,Dir,Punjab,1.53,Weak,Low (<30k),Primary,22,88,Yes,No,Mobile,Frequent Outages,Semi-Government,English,34.7,Bus,Low,None,Yes,Sports,Low
16,24,Female,Abbottabad,KPK,1.54,Weak,Middle (60k-120k),Intermediate,36,99,Yes,No,None,Frequent Outages,Public,English,15.7,Van,Low,None,No,Clubs,High
17,23,Female,Diamer,Punjab,1.54,Weak,Upper-Middle (120k-250k),Intermediate,33,78,Yes,No,Mobile,Consistent,Semi-Government,English,20.9,Walk,Low,Minor,Yes,Sports,Medium
18,20,Female,Skardu,Punjab,1.54,Weak,Middle (60k-120k),Primary,21,63,No,Yes,Mobile,Frequent Outages,Private,Urdu,34.7,Bus,Medium,Minor,Yes,Sports,Low
19,22,Female,Gujranwala,Azad Kashmir,1.54,Weak,Low (<30k),Graduate,12,57,Yes,Yes,None,Consistent,Private,Urdu,16.0,Walk,High,Chronic,No,Clubs,Low
20,25,Female,Rahim Yar Khan,Punjab,1.55,Weak,High (>250k),Graduate,17,69,No,Yes,Mobile,Consistent,Public,English,9.8,Bus,High,None,No,Sports,Low
21,25,Female,Diamer,KPK,1.55,Weak,Lower-Middle (30k-60k),Intermediate,22,81,No,Yes,None,Consistent,Public,Urdu,26.2,Walk,Medium,None,No,Sports,High
22,24,Male,Multan,Punjab,1.55,Weak,Middle (60k-120k),Postgraduate,11,70,Yes,Yes,Desktop,Consistent,Semi-Government,English,1.8,Van,Low,None,Yes,Clubs,High
23,22,Female,Okara,KPK,1.55,Weak,Upper-Middle (120k-250k),Postgraduate,8,70,No,No,None,Frequent Outages,Semi-Government,Urdu,13.6,Van,Medium,Chronic,No,None,Medium
24,17,Female,Okara,Punjab,1.56,Weak,Lower-Middle (30k-60k),Matric,34,87,No,No,Desktop,Frequent Outages,Semi-Government,Urdu,9.2,Walk,High,Chronic,Yes,Clubs,Low
25,17,Female,Muzaffarabad,Punjab,1.56,Weak,Middle (60k-120k),Matric,6,93,Yes,Yes,None,Frequent Outages,Private,Urdu,31.1,Van,Medium,None,No,Sports,Low
26,19,Male,Sargodha,Punjab,1.56,Weak,Middle (60k-120k),Primary,24,83,Yes,Yes,None,Frequent Outages,Semi-Government,English,5.2,Bus,Low,Chronic,No,Clubs,High
27,25,Female,Mardan,Punjab,1.56,Weak,High (>250k),Primary,32,79,Yes,Yes,Laptop,Consistent,Public,English,5.4,Van,Medium,Chronic,No,Clubs,Low
28,23,Male,Kotli,Punjab,1.56,Weak,High (>250k),Intermediate,34,68,No,Yes,Mobile,Consistent,Semi-Government,English,32.5,Van,High,Minor,No,Sports,Low
29,21,Female,Diamer,Azad Kashmir,1.57,Weak,Upper-Middle (120k-250k),Postgraduate,14,61,Yes,No,Mobile,Consistent,Private,English,20.4,Van,Medium,None,No,None,High
30,24,Male,Diamer,KPK,1.57,Weak,Middle (60k-120k),Matric,17,71,No,Yes,None,Consistent,Private,English,21.3,Car,Low,None,No,Sports,High
31,20,Male,Mardan,Punjab,1.57,Weak,Upper-Middle (120k-250k),Primary,38,72,Yes,Yes,Desktop,Consistent,Private,Urdu,20.1,Bike,High,Chronic,Yes,Clubs,High
32,20,Female,Bannu,Gilgit Baltistan,1.57,Weak,High (>250k),Primary,23,59,No,Yes,Desktop,Consistent,Public,English,5.0,Bike,High,None,No,Clubs,Low
33,25,Female,Skardu,Punjab,1.58,Weak,High (>250k),Intermediate,32,78,Yes,Yes,Laptop,Consistent,Semi-Government,Urdu,29.4,Van,Medium,Minor,No,Clubs,Low
34,20,Female,Peshawar,Punjab,1.58,Weak,High (>250k),Graduate,21,96,Yes,Yes,Desktop,Consistent,Semi-Government,Urdu,7.6,Car,Medium,Minor,No,None,Low
35,17,Female,Kotli,KPK,1.58,Weak,Upper-Middle (120k-250k),Postgraduate,38,83,Yes,Yes,None,Frequent Outages,Private,Urdu,31.6,Van,High,Minor,Yes,Sports,Medium
36,18,Male,Bhimber,Punjab,1.58,Weak,Low (<30k),Graduate,23,89,Yes,Yes,Mobile,Frequent Outages,Public,Urdu,31.8,Car,High,None,No,None,Low
37,17,Male,Diamer,KPK,1.59,Weak,Lower-Middle (30k-60k),Primary,21,57,Yes,Yes,Desktop,Frequent Outages,Public,English,5.0,Walk,Low,None,Yes,Sports,Medium
38,17,Male,Okara,KPK,1.59,Weak,Lower-Middle (30k-60k),Primary,17,69,No,No,Laptop,Consistent,Public,Urdu,1.8,Bus,Medium,None,Yes,None,High
39,23,Female,Skardu,Punjab,1.59,Weak,Low (<30k),Graduate,18,81,No,Yes,None,Consistent,Semi-Government,Urdu,0.7,Van,Low,None,No,None,High
40,24,Male,Hunza,KPK,1.59,Weak,Lower-Middle (30k-60k),Primary,13,78,Yes,Yes,Desktop,Frequent Outages,Semi-Government,English,23.4,Van,Low,Chronic,Yes,Sports,Medium
41,24,Female,Abbottabad,Azad Kashmir,1.6,Weak,Middle (60k-120k),Matric,21,94,No,Yes,Laptop,Frequent Outages,Private,English,22.8,Bus,High,Minor,No,None,Medium
42,20,Female,Chiniot,Punjab,1.6,Weak,Upper-Middle (120k-250k),Intermediate,14,74,Yes,Yes,Laptop,Frequent Outages,Private,Urdu,3.0,Bike,Low,Minor,Yes,Sports,Low
43,17,Female,Lahore,Punjab,1.6,Weak,Middle (60k-120k),Intermediate,20,99,Yes,No,None,Frequent Outages,Public,English,18.6,Bike,Medium,Minor,Yes,Clubs,High
44,24,Male,Mardan,Punjab,1.6,Weak,Lower-Middle (30k-60k),Intermediate,6,71,No,No,Desktop,Frequent Outages,Private,Urdu,21.5,Bike,Low,None,Yes,Sports,High
45,24,Female,Peshawar,Azad Kashmir,1.61,Weak,High (>250k),Primary,35,92,No,Yes,None,Frequent Outages,Public,Urdu,23.7,Walk,Low,Minor,No,None,Low
46,24,Female,Bahawalpur,KPK,1.61,Weak,Lower-Middle (30k-60k),Primary,15,82,Yes,No,None,Consistent,Semi-Government,Urdu,0.9,Bike,Low,None,Yes,Sports,High
47,17,Female,Lahore,Punjab,1.61,Weak,Middle (60k-120k),Matric,10,94,No,Yes,Mobile,Frequent Outages,Private,Urdu,23.5,Van,High,Minor,No,Clubs,High
48,22,Male,Okara,Gilgit Baltistan,1.61,Weak,High (>250k),Intermediate,27,77,Yes,No,Desktop,Consistent,Public,Urdu,16.2,Bus,High,None,No,None,Medium
49,21,Male,Peshawar,KPK,1.62,Weak,Upper-Middle (120k-250k),Postgraduate,38,79,No,No,Mobile,Frequent Outages,Public,Urdu,14.3,Bike,Medium,None,Yes,Clubs,High
50,20,Male,Chiniot,KPK,1.62,Weak,Middle (60k-120k),Graduate,7,73,Yes,No,None,Consistent,Public,English,22.5,Bus,Low,None,Yes,None,Medium
51,18,Male,Peshawar,KPK,1.62,Weak,Middle (60k-120k),Graduate,28,95,Yes,No,None,Consistent,Private,Urdu,26.6,Car,Low,Minor,Yes,Clubs,Medium
52,20,Male,Sialkot,Gilgit Baltistan,1.62,Weak,Upper-Middle (120k-250k),Intermediate,26,66,Yes,No,None,Frequent Outages,Semi-Government,Urdu,10.0,Walk,Low,Minor,Yes,Sports,Medium
53,18,Male,Gilgit,Punjab,1.62,Weak,Lower-Middle (30k-60k),Graduate,32,99,No,Yes,Laptop,Frequent Outages,Public,English,23.7,Walk,High,Minor,Yes,None,Low
54,20,Female,Kotli,Punjab,1.63,Weak,Upper-Middle (120k-250k),Intermediate,19,81,No,Yes,Desktop,Consistent,Semi-Government,English,3.8,Bike,Medium,Minor,No,None,High
55,21,Female,Chiniot,Gilgit Baltistan,1.63,Weak,Lower-Middle (30k-60k),Intermediate,38,95,Yes,Yes,None,Consistent,Semi-Government,Urdu,5.0,Car,Low,None,Yes,None,Medium
56,20,Female,Bannu,Punjab,1.63,Weak,High (>250k),Postgraduate,28,71,Yes,No,Desktop,Frequent Outages,Semi-Government,Urdu,16.6,Van,Medium,Minor,No,None,Low
